Relative File path,File name,Season,Episode,Actors,Characters,Keywords,Title,Size,Dimensions,Credit,Device make,Device model,Color space,Color profile,Focal length,Description,Alpha channel,Red eye,Metering mode,F number,Exposure program,Exposure time,Instructions
visual-media-imagery/WW/0102031.jpg,,1,2,"MyAnna Buring, Anya Chalotra, Roderick Hill","Tissaia de Vries, Yennefer of Vengerberg, Fletcher",,,"4,9 MB",3840 x 1920,,,,RGB,sRGB IEC61966-2.1,,,No,,,,,,
visual-media-imagery/WW/0102032.jpg,,1,2,"Szandra V Asztalos, Anya Chalotra, MyAnna Buring","Anica, Yennefer of Vengerberg, Tissaia de Vries",,,"13,4 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),45 mm,WW_102_27.11.2018_161.NEF,No,No,Spot,"f/3,5",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/0102035.jpg,,1,2,Anya Chalotra,Yennefer of Vengerberg,,,"17,5 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),50 mm,WW_102_16.11.2018_83.NEF,No,No,Spot,"f/2,8",Manual,1/100,
visual-media-imagery/WW/0102047.jpg,,1,2,"Royce Pierreson, Anya Chalotra","Istredd, Yennefer of Vengerberg",,,"12,3 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),56 mm,WW_103_20.12.2018_23.NEF,No,No,Spot,"f/2,8",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/TheWitcher_102_Unit_00162.jpg,TheWitcher_102_Unit_00162.jpg,1,2,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"12,7 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),62 mm,WW_102_02.11.2018_162.NEF,No,No,Spot,"f/3,5",Manual,1/320,(FSC:{JH})
visual-media-imagery/WW/GRADED_Witcher_102_Unit_00883.jpg,GRADED_Witcher_102_Unit_00883.jpg,1,2,MyAnna Buring,Tissaia de Vries,,,"18,6 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_102_09.11.2018_396.NEF,No,No,Spot,"f/3,2",Manual,1/125,(FSC:RR)
visual-media-imagery/WW/Witcher_102_Unit_01196_RT.jpg,Witcher_102_Unit_01196_RT.jpg,1,2,Anya Chalotra,Yennefer of Vengerberg,,,"12,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_102_16.11.2018_283.NEF,No,No,Spot,"f/2,8",Manual,1/200,
visual-media-imagery/WW/Witcher_102_Unit_01674_RT.jpg,Witcher_102_Unit_01674_RT.jpg,1,2,"MyAnna Buring, Anya Chalotra","Tissaia de Vries, Yennefer of Vengerberg",,,"17,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_102_27.11.2018_61.NEF,No,No,Spot,"f/3,5",Manual,1/125,(FSC:KV)
visual-media-imagery/WW/Witcher_102_Unit_02536_RT.jpg,Witcher_102_Unit_02536_RT.jpg,1,2,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"12,4 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),16 mm,WW_102_13.05.2019_26.ARW,No,No,Other,"f/3,2",Manual,1/125,(FSC:AA)
visual-media-imagery/WW/Witcher_102_Unit_02635_RT.f3uzyww8df.jpg,Witcher_102_Unit_02635_RT.f3uzyww8df.jpg,1,2,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"17,4 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),85 mm,WW_102_13.05.2019_125.ARW,No,No,Other,"f/4,0",Manual,1/200,(FSC:AA)
visual-media-imagery/WW/GRADED_Witcher_103_Unit_00153.pkeyywq8df.jpg,GRADED_Witcher_103_Unit_00153.pkeyywq8df.jpg,1,3,"Royce Pierreson, Anya Chalotra","Istredd, Yennefer of Vengerberg",,,"18,4 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_103_20.12.2018_153.NEF,No,No,Spot,"f/2,8",Manual,1/125,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_103_Unit_01284.jpg,GRADED_Witcher_103_Unit_01284.jpg,1,3,"MyAnna Buring, Terence Maynard, Lars Mikkelsen, Judit Fekete","Tissaia de Vries, Artorius Vigo, Stregobor, Vanielle of Brugge",,,"17,9 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),34 mm,WW_103.08.02.2019_80.NEF,No,No,Spot,"f/2,8",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_103_Unit_01569.jpg,GRADED_Witcher_103_Unit_01569.jpg,1,3,Anya Chalotra,Yennefer of Vengerberg,,,"23,8 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),38 mm,WW_103.11.02.2019_114.NEF,No,No,Spot,"f/2,8",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/Witcher_103_Unit_02006_RT.fkyyqwd8f.jpg,Witcher_103_Unit_02006_RT.fkyyqwd8f.jpg,1,3,Henry Cavill,Geralt of Rivia,,,"14,8 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,sRGB IEC61966-2.1,48 mm,WW_103_19.02.2019_118.NEF,No,No,Spot,"f/3,2",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/Witcher_103_Unit_02274_RT.jpg,Witcher_103_Unit_02274_RT.jpg,1,3,Henry Cavill,Geralt of Rivia,,,21 MB,6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),55 mm,WW_103_20.02.2019_182.NEF,No,No,Spot,"f/2,8",Manual,1/160,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_103_Unit_02759.jpg,GRADED_Witcher_103_Unit_02759.jpg,1,3,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"15,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),50 mm,WW_103_24.01.2019_32.NEF,No,No,Spot,"f/4,0",Manual,1/400,(FSC:KV)
